index,question,img_opt,A,B,C,D,Answer
290,10. Find the approximate error in the volume of the sphere if the radius of the sphere is measured to be 6cm with an error of 0.07cm.,,a) 10.08π cm3,b) 10.08cm3,c) 10.4πcm3,d) 9.08cm3,Answer: a
291,1. What is a monotonically increasing function?,,"a) x1 > x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b) ∀ c  ∈ a","b) x1 < x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b)","c) x1 < x2 ⇒ f(x1) = f(x2) ∀ x1, x2 ∈ (a,b)","d) x1 = x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b)",Answer: b
292,2. What is the mathematical expression for monotonically decreasing function?,,"a) x1 < x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b)","b) x1 < x2 ⇒ f(x1) ≥ f(x2) ∀ x1, x2 ∈ (a,b)","c) x1 = x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b)","d) x1 < x2 ⇒ f(x1) = f(x2) ∀ x1, x2 ∈ (a,b)",Answer: b
293,"3. What is the mathematical expression for a function to be strictly increasing on (a,b)?",,"a) x1 < x2 ⇒ f(x1) < f(x2) ∀ x1, x2 ∈ (a,b)","b) x1 < x2 ⇒ f(x1) ≥ f(x2) ∀ x1, x2 ∈ (a,b)","c) x1 = x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b)","d) x1 = x2 ⇒ f(x1) < f(x2) ∀ x1, x2 ∈ (a,b)",Answer: a
294,"4. What is the mathematical expression for a function to be strictly decreasing on (a,b)?",,"a) x1 = x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b)","b) x1 < x2 ⇒ f(x1) > f(x2) ∀ x1, x2 ∈ (a,b)","c) x1 < x2 ⇒ f(x1) < f(x2) ∀ x1, x2 ∈ (a,b)","d) x1 < x2 ⇒ f(x1) = f(x2) ∀ x1, x2 ∈ (a,b)",Answer: b
295,"5. A monotonic function on [a,b] is either a monotonically increasing or monotonically decreasing function.",,a) False,b) True,c) NONE,d) NONE,Answer: b
296,6. Monotonically increasing functions are usually referred to as decreasing functions.,,a) True,b) False,c) NONE,d) NONE,Answer: b
297,"7. What is the condition for a function f to be increasing if f be continuous and differentiable on (a,b)?",,"a) f’(x) < 0 ∀ x1, x2 ∈ (a,b)","b) f’(x) > 0 ∀ x1, x2 ∈ (a,b)","c) f’(x) = 0 ∀ x1, x2 ∈ (a,b)","d) f’(x) ≥ 0 ∀ x1, x2 ∈ (a,b)",Answer: d
298,"8. What is the condition for a function f to be decreasing if f be continuous and differentiable on (a,b)?",,"a) f’(x) > 0 ∀ x1, x2 ∈ (a,b)","b) f’(x) < 0 ∀ x1, x2 ∈ (a,b)","c) f’(x) = 0 ∀ x1, x2 ∈ (a,b)","d) f’(x) ≤ 0 ∀ x1, x2 ∈ (a,b)",Answer: d
299,"9. What is the condition for a function f to be strictly increasing if f be continuous and differentiable on (a,b)?",,"a) f’(x) > 0 ∀ x1, x2 ∈ (a,b)","b) f’(x) < 0 ∀ x1, x2 ∈ (a,b)","c) f’(x) ≤ 0 ∀ x1, x2 ∈ (a,b)","d) f’(x) = 0 ∀ x1, x2 ∈ (a,b)",Answer: a
300,"10. What is the condition for a function f to be strictly decreasing if f be continuous and differentiable on (a,b)?",,"a) f’(x) > 0 ∀ x1, x2 ∈ (a,b)","b) f’(x) < 0 ∀ x1, x2 ∈ (a,b)","c) f’(x) = 0 ∀ x1, x2 ∈ (a,b)","d) f’(x) ≤ 0 ∀ x1, x2 ∈ (a,b)",Answer: b
301,"11. What is the condition for a function f to be constant if f be continuous and differentiable on (a,b)?",,"a) f’(x) > 0 ∀ x1, x2 ∈ (a,b)","b) f’(x) < 0 ∀ x1, x2 ∈ (a,b)","c) f’(x) = 0 ∀ x1, x2 ∈ (a,b)","d) f’(x) ≤ 0 ∀ x1, x2 ∈ (a,b)",Answer: c
302,12. What is the mathematical expression of  non-decreasing function?,,"a) x1 > x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b) ∀ c ∈ a","b) x1 < x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b)","c) x1 < x2 ⇒ f(x1) = f(x2) ∀ x1, x2 ∈ (a,b)","d) x1 = x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b)",Answer: b
303,13. What is the mathematical expression for monotonically non-increasing function?,,"a) x1 < x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b)","b) x1 < x2 ⇒ f(x1) ≥ f(x2) ∀ x1, x2 ∈ (a,b)","c) x1 = x2 ⇒ f(x1) ≤ f(x2) ∀ x1, x2 ∈ (a,b)","d) x1 < x2 ⇒ f(x1) = f(x2) ∀ x1, x2 ∈ (a,b)",Answer: b
304,14. What is the relation between f(x) and ℓ when the maximum value or greatest value function f is defined on a set A and ℓ ∈ f(A)?,,a) f(x) < ℓ ∀ x  ∈ A,b) f(x) ≤ ℓ ∀ x  ∈ A,c) f(x) = ℓ ∀ x  ∈ A,d) f(x) > ℓ ∀ x  ∈ A,Answer: b
305,15. What is the relation between f(x) and ℓ when the minimum value or least value function f is defined on a set A and ℓ ∈ f(A)?,,a) f(x) < ℓ ∀ x ∈ A,b) f(x) ≤ ℓ ∀ x ∈ A,c) f(x) ≥ ℓ ∀ x ∈ A,d) f(x) > ℓ ∀ x ∈ A,Answer: c
306,1. Find ∫7 cos⁡mx dx.,,a) 7sinmxx+C ,b) 7sinmxm+C ,c) sinmxx+C ,d) sinxm+C ,Answer: b
307,2. Integrate 3x2(cosx3+8).,,a) sinx3−8x3+C ,b) sinx3+8x3+C ,c) –sinx3+8x3+C ,d) sinx3−x3+C ,Answer: b
308,3. Find ∫6x(x2+6)dx.,,a) 3x42+18x2+C ,b) 3x42−18x+C ,c) 3x42−18x2+C ,d) 3x42+x2+C ,Answer: a
309,4. Find the integral of 3ex+2(logx)3x.,,a) 3ex+13(x)2+C ,b) ex−83(logx)2+C ,c) 3ex−13(logx)2+C ,d) 3ex+13(logx)2+C ,Answer: d
310,5. Find ∫e−cot−1x1+x2.,,a) e−cot−1x+C ,b) e−2cot−1x+C ,c) e−tan−1x+C ,d) e−cot12x+C ,Answer: a
311,6. Find the integral of 5x4x5+9√.,,a) x5+9−−−−−√ ,b) 2x5−9−−−−−√ ,c) 2(x5+9),d) 2x5+9−−−−−√ ,Answer: d
312,7. Find ∫6sinx√x√dx ,,a) 2cosx−−√+C ,b) –12cosx−−√+C ,c) -12 cos⁡x+C,d) 12 cos⁡x+C,Answer: b
313,8. Find ∫20x31+x4dx.,,a) 5 log⁡(x4)+C,b) -5 log⁡(1+x4)+C,c) 5 log⁡(1+x4)+C,d) log⁡(1+x4)+C,Answer: c
314,9. Integrate x2ex3.,,a) –1(3ex3)+C ,b) 13ex3+C ,c) –1ex3+C ,d) ex3+C,Answer: a
315,10. Find ∫cos−1x1−x2√dx.,,a) (sin−1x)22+C ,b) (cos−1x)27+C ,c) (cos−1x)22+C ,d) –(cos−1x)22+C ,Answer: c
316,"1. What form of rational function \frac{px+q}{(x-a)(x-b)}, a≠b represents?",,a) \frac{A}{(x-a)} ,b) \frac{B}{(x-b)} ,c) \frac{A+B}{(x-a)(x-b)} ,d) \frac{A}{(x-a)} + \frac{B}{(x-b)} ,Answer: d
317,2. Find \int \frac{x^2+1}{x^2-5x+6} dx.,,a) x – 5log|x-2| + 10log|x-3|+C,b) x – 3log|x-2| + 5log|x-3|+C,c) x – 10log|x-2| + 5log|x-3|+C,d) x – 5log|x-5| + 10log|x-10|+C,Answer: a
318,3. Find \int \frac{dx}{(x+1)(x+2)}.,,a) Log \left|\frac{x+1}{x+2}\right|+ C ,b) Log \left|\frac{x-1}{x+2}\right|+ C ,c) Log \left|\frac{x+2}{x+1}\right|+ C ,d) Log \left|\frac{x+1}{x-2}\right|+ C ,Answer: a
319,4. An improper integration fraction is reduced to proper fraction by _____,,a) multiplication,b) division,c) addition,d) subtraction,Answer: b
320,5. \int \frac{dx}{x(x^2+1)} equals ______,,a) log|x| – \frac{1}{2} log(x^2+1) + C,b) log|x| + \frac{1}{2} log(x^2+1) + C,c) –log|x| + \frac{1}{2} log(x^2+1) + C,d) \frac{1}{2} log|x| + log(x^2+1) + C,Answer: a
321,6. \int \frac{dx}{(x^2-9)} equals ______,,a) \frac{1}{6} log \frac{x+3}{x-3} + C,b) \frac{1}{6} log \frac{x-3}{x+3} + C,c) \frac{1}{5} log \frac{x+3}{x-3} + C,d) \frac{1}{3} log \frac{x+3}{x-3} + C,Answer: b
322,7. Which form of rational function \frac{px+q}{(x-a)^2} represents?,,a) \frac{A}{(x-a)} + \frac{B}{(x-a)^2} ,b) \frac{A}{(x-a)^2} + \frac{B}{(x-a)} ,c) \frac{A}{(x-a)} – \frac{B}{(x-a)^2} ,d) \frac{A}{(x-a)} – \frac{B}{(x-a)} ,Answer: a
323,8. \int \frac{(x^2+x+1)dx}{(x+2)(x^2+1)} equals ______,,a) \frac{3}{5}log|x+2| + \frac{1}{5}log|x^2+1|+\frac{1}{5} tan^{-1}x+5C ,b) \frac{3}{5}log|x+2| + \frac{1}{5}log|x^2+1|+\frac{1}{6} tan^{-1}x+C ,c) \frac{3}{5}log|x+2| + \frac{1}{6}log|x^2+1|+\frac{1}{6} tan^{-1}x+C ,d) \frac{3}{5}log|x+2| + \frac{1}{5}log|x^2+1|+\frac{1}{5} tan^{-1}x+C ,Answer: d
324,9. Identify the type of the equation (x+1)2.,,a) Linear equation,b) Cubic equation,c) Identity,d) Imaginary,Answer: c
325,"10. For the given equation (x+2) (x+4) = x2 + 6x + 8, how many values of x satisfies this equation?",,a) Two values of x,b) One value of x,c) All value of x,d) No value of x,Answer: c
326,"1. In ∫baf(y) dy, what is ‘a’ called as?",,a) Integration,b) Upper limit,c) Lower limit,d) Limit of an integral,Answer: b
327,2. The value of ∫π0sin ⁡y dy is 2.,,a) True,b) False,c) NONE,d) NONE,Answer: a
328,3. Compute ∫cos(x)-3x4dx.,,a) sin(x)+34x-7+c,b) sec(x)+34x-3+c,c) sin(x)+34x-3,d) sin(x)+34x-3+c,Answer: d
329,4. What is the value of ∫32cos⁡(x)-3x4dx .,,a) sin (3) – sin (2),b) sin (3) – sin (9) – 19288 ,c) sin (8) – sin (2) – 19288 ,d) sin (3) – sin (2) – 19288 ,Answer: d
330,5. Evaluate ∫97cos⁡(x)dx.,,a) 8 (-sin 9 – sin 7),b) 8 (sin 9 + sin 7),c) 8 (sin 9 – sin 7),d) 7 (sin 9 – sin 7),Answer: c
331,6. Compute ∫32cosx−sinx4dx.,,a) 14 (sin 2 + cos 3 – sin 3 – cos 2),b) 14 (sin 3 – cos 3 – sin 2 – cos 2),c) 14 (sin 3 + cos 3 – sin 2 – cos 2),d) 14 (sin 3 + cos 3 + sin 2 – cos 2),Answer: c
332,7. What is y in ∫baf(y) dy called as?,,a) Random variable,b) Dummy symbol,c) Integral,d) Integrand,Answer: b
333,8. The value of ∫211y5 dy is_____,,a) 10.5,b) 56,c) 9,d) 23,Answer: a
334,9. The value of ∫211y5/5dy is _____,,a) 12,b) 2.1,c) 21,d) 11.1,Answer: b
335,10. Evaluate ∫π0sin⁡x dx.,,a) 2,b) 6,c) 17,d) 3,Answer: a
336,11. Evaluate \int_2^3∫32cosx dx.,,a) 38.2,b) sin (9) – sin (4),c) 89.21,d) sin (3) – sin (2),Answer: d
337,12. Compute \int_2^32ex dx.,,a) 2(e9 – e4),b) 84.32,c) 2(e3 – e2),d) 83.25,Answer: c
338,"13. In \int_b^af(x) dx, b called as lower limit and a is called as upper limit.",,a) False,b) True,c) NONE,d) NONE,Answer: b
339,14. Compute \int_3^69 ex dx.,,a) 30.82,b) 9(e6 – e3),c) 11.23,d) 81(e6 – e3),Answer: b
340,15. Evaluate \int_3^7sin(t)-2cos(t)dt.,,a) cos(7) – 2sin(7) + (cos(3) + 2sin(3),b) -17,c) 12,d) cos(7) – 2sin(7) – (cos(3) + 2sin(3),Answer: d
341,1. Find ∫80xdx.,,a) 32,b) 34,c) 21,d) 24,Answer: a
342,2. Find ∫π205sinxdx.,,a) -5,b) 9,c) 5,d) -9,Answer: c
343,3. Find the value of ∫54logxdx.,,a) 5 log⁡5-log⁡4+1,b) 5 log⁡5-4 log⁡4-1,c) 4 log⁡5-4 log⁡4-1,d) 5-4 log⁡4-log⁡5,Answer: b
344,4. Find ∫π409cos2xdx.,,a) 92(π6−1) ,b) 94(π2+1) ,c) 94(π2−1) ,d) (π2−1) ,Answer: c
345,5. Find ∫20e2xdx.,,a) e4−16 ,b) e4+12 ,c) e−12 ,d) e4−12 ,Answer: d
346,6. Find ∫π/2π/42sinxsin(cosx)dx.,,a) 2(1-cos⁡12√),b) (cos⁡12√-cos⁡1),c) 2(cos⁡12√+1),d) (cos⁡12√+cos⁡1),Answer: a
347,7. Find ∫1−25x4dx.,,a) 54,b) 75,c) 33,d) 36,Answer: c
348,8. Find ∫30exdx.,,a) e3+1,b) -e3-1,c) e3-1,d) 3e3-2,Answer: c
349,9. Find ∫π/402tanxdx.,,a) log⁡2,b) log⁡\sqrt{2}2–√ ,c) 2 log⁡2,d) 0,Answer: a
350,"10. Find \int_{-1}^1 \,2xe^x \,dx.",,a) \frac{4}{e} ,b) 4e,c) –\frac{4}{e} ,d) -4e,Answer: a
351,1. What is the difference property of definite integrals?,,a) ∫ba[-f(x)-g(x)dx,b) ∫ba[f(-x)+g(x)dx,c) ∫ba[f(x)-g(x)dx,d) ∫ba[f(x)+g(x)dx,Answer: c
352,2. The sum property of definite integrals is ∫ba[f(x)+g(x)dx?,,a) False,b) True,c) NONE,d) NONE,Answer: b
353,3. What is the constant multiple property of definite integrals?,,a) ∫bak⋅f(x)dy,b) ∫ba[f(-x)+g(x)dx,c) ∫bak⋅f(x)dx,d) ∫ba[f(x)+g(x)dx,Answer: c
354,4. What is the reverse integral property of definite integrals?,,a) –∫baf(x)dx=-∫abg(x)dx,b) –∫baf(x)dx=-∫abg(x)dx,c) ∫baf(x)dx=∫abg(x)dx,d) ∫baf(x)dx=-∫abf(x)dx,Answer: d
355,5. Identify the zero-length interval property.,,a) ∫baf(x)dx = -1,b) ∫baf(x)dx = 1,c) ∫baf(x)dx = 0,d) ∫baf(x)dx = 0.1,Answer: c
356,6. What is adding intervals property?,,a) ∫caf(x)dx+∫cbf(x)dx = ∫caf(x) dx,b) ∫baf(x)dx+∫abf(x)dx = ∫caf(x) dx,c) ∫baf(x)dx+∫cbf(x)dx = ∫caf(x) dx,d) ∫baf(x)dx-∫cbf(x)dx = ∫caf(x) dx,Answer: c
357,7. What is the name of the property of \int_a^bf(x)dx+\int_b^cf(x)dx = \int_a^cf(x)  dx?,,a) Zero interval property,b) Adding intervals property,c) Adding integral property,d) Adding integrand property,Answer: b
358,8. What is the name of the property \int_a^bf(x)dx=-\int_b^af(x)dx?,,a) Reverse integral property,b) Adding intervals property,c) Zero interval property,d) Adding integrand property,Answer: a
359,9. What is the name of the property \int_a^bf(x)dx = 0?,,a) Reverse integral property,b) Adding intervals property,c) Zero-length interval property,d) Adding integrand property,Answer: b
360,10. What property this does this equation come under \int^1_{-1}sin⁡x dx=-\int_1^{-1}sin⁡x dx?,,a) Reverse integral property,b) Adding intervals property,c) Zero-length interval property,d) Adding integrand property,Answer: a
361,"11. Evaluate \int_2^33f(x)-g(x)dx, if \int_2^3f(x)  = 4 and \int_2^3g(x)dx = 4.",,a) 38,b) 12,c) 8,d) 7,Answer: c
362,12. Compute \int_3^2f(x) dx if \int_2^3f(x) = 4.,,a) – 4,b) 84,c) 2,d) – 8,Answer: c
363,13. Compute \int_8^22f(x)dx if \int_2^8f(x) = – 3.,,a) – 4,b) 84,c) 2,d) – 8,Answer: c
364,14. Compute \int_2^67ex dx.,,a) 30.82,b) 7(e6 – e2),c) 11.23,d) 81(e6 – e3),Answer: b
365,"15. Evaluate \int_3^72f(x)-g(x)dx, if \int_3^7f(x) = 4 and \int_3^7g(x)dx = 2.",,a) 38,b) 12,c) 6,d) 7,Answer: c
366,1. Find the order of the differential equation y’-20y+2=0.,,a) 2,b) 8,c) 0,d) 1,Answer: d
367,2. Find the order of the D.E 7d2ydx2−6dydx=1,,a) 4,b) 2,c) 3,d) 1,Answer: b
368,3. Find the order and degree of the differential equation y”’-(4y’)3=0,,"a) Order -3, Degree-1","b) Order -1, Degree-3","c)  Order -2, Degree-1","d) Order -3, Degree-2",Answer: a
369,4. Find the order of the differential equation dydx+15 cos⁡x=0.,,a) 4,b) 3,c) 2,d) 1,Answer: d
370,5. Find the degree of the differential equation y”-12cosec y=0.,,a) 1,b) 2,c) 4,d) Not defined,Answer: a
371,6. Find the order and degree of the differential equation 7y’-3y=0.,,"a) Order -1, Degree-2","b) Order -2, Degree-3","c) Order -1, Degree-1","d) Order -3, Degree-2",Answer: c
372,7. Find the degree of the D.E d2ydx2+5cot(dydx)=0,,a) five,b) three,c) two,d) not defined,Answer: d
373,8. Find the order and degree of the differential equation (y”’)2+7(y’)2-(cos⁡x)2=0,,"a) Order- 0, Degree-2","b) Order- 3, Degree-2","c) Order- 3, Degree-3","d) Order- 1, Degree-2",Answer: c
374,9. Find the degree of the D.E (d2ydx2)-3 tan⁡x=0.,,a) 2,b) 1,c) 3,d) 4,Answer: b
375,10. Find the order of the differential equation 9d2ydx2−7dydx+y6=0 ,,a) 3,b) 1,c) 4,d) 2,Answer: d
376,1. Which of the following functions is the solution of the differential equation \frac{dy}{dx}dydx+2y=0?,,a) y=-2e-x,b) y=2ex,c) y=e-2x,d) y=e2x,Answer: c
377,2. The function y=8 sin⁡2x is a solution of the differential equation \frac{d^2 y}{dx^2}d2ydx2+4y=0.,,a) True,b) False,c) NONE,d) NONE,Answer: a
378,3. Which of the following functions is a solution for the differential equation xy’-y=0?,,a) y=4x,b) y=x2,c) y=-4x,d) y=2x,Answer: d
379,4. Which of the following differential equations has the solution y=3x2?,,a) \frac{d^2 y}{dx^2}d2ydx2-6x=0,b) \frac{dy}{dx}dydx-3x=0,c) x \frac{d^2 y}{dx^2}–\frac{dy}{dx}=0,d) \frac{d^2 y}{dx^2}-\frac{3dy}{dx}=0,Answer: c
380,5. Which of the following functions is a solution for the differential equation y”+6y=0?,,a) y=5 cos⁡3x,b) y=5 tan⁡3x,c) y=cos⁡3x,d) y=6 cos⁡3x,Answer: a
381,6. Which of the following functions is a solution for the differential equation \frac{dy}{dx}-14x=0?,,a) y=7x2,b) y=7x3,c) y=x7,d) y=14x,Answer: a
382,7. Which of the following differential equations given below has the solution y=log⁡x?,,a) \frac{d^2 y}{dx^2}-x=0,b) \frac{d^2 y}{dx^2}+(\frac{dy}{dx})^2=0,c) \frac{d^2 y}{dx^2}–\frac{dy}{dx}=0,d) x \frac{d^2 y}{dx^2}-log⁡x=0,Answer: b
383,8. How many arbitrary constants will be there in the general solution of a second order differential equation?,,a) 3,b) 4,c) 2,d) 1,Answer: c
384,9. The number of arbitrary constants in a particular solution of a fourth order differential equation is __________________,,a) 1,b) 0,c) 4,d) 3,Answer: b
385,10. The function y=3 cos⁡x is a solution of the function \frac{d^2 y}{dx^2}-3\frac{dy}{dx}=0.,,a) True,b) False,c) NONE,d) NONE,Answer: b
386,1. Find the general solution of the differential equation dydx=5x2+2.,,a) 10x3+12x-3y2+C=0,b) 12x-3y2+C=0,c) 10x3+12x-y2+C=0,d) 10x2-3y2+C=0,Answer: a
387,"2. Find the general solution of the differential equation dydx=y−3x−3 (x, y≠3).",,a) x-3=0,b) y-3=0,c) y+3=0,d) x-3y=0,Answer: b
388,3. Find the general solution of the differential solution dydx=2−x+x3.,,a) x4-2x2-4y+C=0,b) x4-2x2+C=0,c) 2x2+4x-4y+C=0,d) x4-2x2+4x-4y+C=0,Answer: d
389,4. Find the general solution of the differential equation dydx=3secy2cosecx.,,a) 3 cos⁡x-2 cos⁡y=C,b) 3 sin⁡x+2 sin⁡y=C,c) 3 cos⁡x+2 tan⁡x=C,d) 3 cos⁡x+2 sin⁡y=C,Answer: d
390,5. Find the general solution of the differential equation dydx=2+x34−y3.,,a) x3-y3-4y+C=0,b) x4+8x+y4-16y+C=0,c) 2x+y4-4y+C=0,d) x3+2x+C=0,Answer: b
391,6. Find the general solution of the differential equation dydx=3ex+2 ,,a) y=3ex+2x+C,b) y=3ex-2x+C,c) y=2ex+3x+C,d) y=2ex-3x+C,Answer: a
392,"7. Find the particular solution of the differential equation dydx+2x=5 given that y=5, when x=1.",,a) y=5x+x2+1,b) y=x-x2+4,c) y=5x-x2+1,d) y=5x-x2,Answer: c
393,8. Find the particular solution of the differential equation dydx+8x=16x2+4 given that y=13 when x=1.,,a) y=(2x+1)23 ,b) y=(4x+1)212 ,c) y=(4x−2)23 ,d) y=(2x−1)23 ,Answer: d
394,"9. Find the particular solution for the differential equation dydx=3x27y given that, y=1 when x=1.",,a) 7x2=2y3+5,b) 7x3=2y2+5,c) 7y2=2x3+5,d) 2y2=5x3+6,Answer: c
395,10. Find the particular solution of the differential equation dydx=9ylogx5xlogy.,,a) (log⁡y)2+(log⁡x)2=0,b) (log⁡y)2-(log⁡x)2=0,c) log⁡y-log⁡x=0,d) 2 log⁡x+log⁡y=0,Answer: b
396,1. What is the differential equation whose solution represents the family c(y + c)2 = x3?,,a) [2x/3 *(dy/dx) – y][x/3 *dy/dx]2 = x3,b) [x/3 *(dy/dx) – y][x/3 *dy/dx]2 = x3,c) [2x/3 *(dy/dx) – y][ 2x/3 *dy/dx]2 = x3,d) [x/3 *(dy/dx) – y][ 2x/3 *dy/dx]2 = x3,Answer: c
397,2. What is the value of the solution of dy/dx = (6x + 9y – 7)/(2x + 3y – 6)?,,a) -c/3,b) 3c/2,c) 2c/3,d) -2c/3,Answer: a
398,3. What is the order of the differential equation of the family of circles with one diameter along the line y = x axis?,,a) 3,b) 2,c) 1,d) 0,Answer: b
399,4. What will be the general solution of differential equation for 2x – y dx + 2y – x dy = 0?,,a) 22x + 22y = c,b) 2(22x + 22y) = c,c) 3(22x + 22y) = c,d) 4(22x + 22y) = c,Answer: a
400,5. What will be the value of dy/dx = (x + 2y + 3)/(2x + 3y + 4)?,,a) [(2 + √3)/2√3 * (log (√3(y + 2) – (x – 1))) + (2 – √3)/2√3 * (log (√3(y + 2) – (x – 1)))] ,b) [(2 + √3)/2√3 * (log (√3(y + 2) + (x – 1))) – (2 – √3)/2√3 * (log (√3(y + 2) + (x – 1)))] ,c) [(2 + √3)/2√3 * (log (√3(y + 2) – (x – 1))) – (2 – √3)/2√3 * (log (√3(y + 2) – (x – 1)))] ,d) [(2 + √3)/2√3 * (log (√3(y + 2) + (x – 1))) – (2 – √3)/2√3 * (log (√3(y + 2) – (x – 1)))] ,Answer: c
401,6. What will be the value of the differential equation dy/dx = (x + y)2/(x + 2)(y – 2)?,,"a) keY/X where, X = x + 2 and Y = y – 2","b) ke2Y/X where, X = x + 2 and Y = y – 2","c) ke2Y/X where, X = x and Y = 2y","d) ke2X/Y where, X = x – 2 and Y = y + 2",Answer: b
402,7. What will be the value of x(x – 1)dy/dx – y = x2(x – 1)2?,,a)  xy = (x + 1)(x3/3 + c),b) depends on x,c) depends on y,d) xy = (x – 1)(x3/3 + c),Answer: d
403,8. What is the solution of the equation(y + x(√xy)(x + y))dx – (y + y(√xy)(x + y))dy = 0?,,a) x2 + y2 = 2tan-1(√(y/x)) + c,b) x2 + y2 = 4tan-1(√(y/x)) + c,c) x2 + y2 = tan-1(√(y/x)) + c,d) x2 + y2 = 2tan-1(√(x/y)) + c,Answer: b
404,"9. A normal is drawn at a point P(x, y) of a curve. It meets the x-axis at Q. If PQ is of constant",,length k. Then what is the differential equation describing such curve?,a) y(dy/dx) = ± √(k2 + x2),b) y(dy/dx) = ± √(k2 – 2y2),c) y(dy/dx) = ± √(k2 – y2),d) Depends on the value of k
405,"10. A normal is drawn at a point P(x, y) of a curve. It meets the x-axis at Q. If PQ is of constant",,"length k. What is the equation of such curve passing through (0, k)?",a) x2 + 2y2 = k2,b) 2x2 + y2 = k2,c) x2 – y2 = k2,d) x2 + y2 = k2
406,1. Which one of the following is correct if we differentiate the equation xy = aex + be-x two times?,,a) x(d2y/ dx) + 2(dy/dx) = xy,b) x(d2y/ dx) – 2(dy/dx) = xy,c) 3x(d2y/ dx) + 2(dy/dx) = xy,d) x(d2y/ dx) + 2(dy/dx) = 2xy,Answer: a
407,2. What is thedifferential equation whose solution represents the family y = ae3x + bex?,,a) d2y/dx2 – 3dy/dx + 4y = 0,b) d2y/dx2 – 4dy/dx + 3y = 0,c) d2y/dx2 + 4dy/dx + 3y = 0,d) d2y/dx2 – 4dy/dx – 3y = 0,Answer: b
408,3. What is the differential equation of all parabolas whose directrices are parallel to the x-axis?,,a) d3x/dy3 = 0,b) d3y/(dx3 + d2y/dx2) = 0,c) d3y/dx3 = 0,d) d2y/dx2 = 0,Answer: c
409,"4. If y = t(x) be a differentiable function ᵾ x € R, then which of the following is always true?",,a) d2y/dx2 – (dy/dx)3 = 0,b) d2y/dx2 + (dy/dx)3 d2x/dy2 = 0,c) d2y/dx2 – (dx/dy)3 = 0,d) d2y/dx2 + (dy/dx)3 = 0,Answer: b
410,5. What will be the required solution of d2y/dx2 – 3dy/dx + 4y = 0?,,a) Ae-4x + Be-x,b) Ae4x – Be-x,c) Ae4x + Be-x,d) Ae4x + Bex,Answer: c
411,"6. What will be the general solution of the differential equation d2y/dx2 = e2x(12 cos3x – 5 sin3x)? (here, A and B are integration constant)",,a) y = ex sin3x + Ax + B,b) y = e2x sin3x + Ax + B,c) y = e2x sin3x + A,d) Data inadequate,Answer: b
412,7. What is the solution of the given equation (D + 1)2y = 0 given y = 2 loge 2 when x = loge 2 and y = (4/3) loge3 when x = loge3?,,a) y = 4xe-x,b) y = 4xex,c) y = -4xe-x,d) y = -4xex,Answer: a
413,8. Which of the following is the valid differential equation x = a cos(αt + β)?,,a) d2x/dt2 – αx = 0,b) d2x/dt2 + αx = 0,c) d2x/dt2 – α2x = 0,d) d2x/dt2 + α2x = 0,Answer: d
414,"9. If, A and B are arbitrary constants then what will be the differential equation of y = Ax + B/x?",,a) x2 d2 y/dx2 – xdy/dx + y = 0,b) x2 d2 y/dx2 + xdy/dx + y = 0,c) x2 d2 y/dx2 + xdy/dx – y = 0,d) x2 d2 y/dx2 – xdy/dx – y = 0,Answer: c
415,10. What will be the value of C if C the constant of the coefficient of the solution of the given equation (D + 1)2y = 0 given y = 2 loge 2 when x = loge 2 and y = (4/3) loge3 when x = loge3?,,a) 2,b) -2,c) -4,d) 4,Answer: c
416,1. Which of the following holds true for a vector quantity?,,a) It has only magnitude,b) It has only direction,c) A vector has both direction and magnitude,d) A vector can never be negative,Answer: c
417,2. A scalar quantity has only magnitude and no direction.,,a) True,b) False,c) NONE,d) NONE,Answer: a
418,3. Which of the following id the correct symbol for denoting a given vector A?,,a) |A| ,b) [A] ,c) A⃗  ,d) ⇀A ,Answer: c
419,4. Which of the following is used to represent the magnitude of vector A⃗ ?,,a) A^ ,b) |A⃗ | ,c) ↔A ,d) A⃗  ,Answer: b
420,"5. For a given vector A, |A⃗ | can be less than zero.",,a) True,b) False,c) NONE,d) NONE,Answer: b
421,6. Which of the given qualities is a vector?,,a) Speed,b) Time,c) Weight,d) Volume,Answer: a
422,7. Which of the following is not a vector quantity?,,a) Speed,b) Density,c) Force,d) Velocity,Answer: b
423,8. Which of the below given is a vector quantity?,,a) 8 kg,b) 4 seconds,c) 6 Newton,d) 90 cm3,Answer: c
424,9. Which of the following is a scalar quantity?,,a) 80m3,b) 5 Newton,c) 7 m/s towards east,d) 55m/s2,Answer: a
